dataset,model,protocol,combination,n_signals,eer,auc,n_genuine,n_impostor,n_subjects
blasco2018,rf,cross_session,ecg,1,0.3738,0.6478,7134,161688,25
blasco2018,rf,cross_session,gsr,1,0.2954,0.749,6510,136710,22
blasco2018,rf,cross_session,ppg,1,0.2619,0.7917,7742,185808,25
blasco2018,rf,cross_session,ecg+gsr,2,0.2819,0.7598,6360,133560,22
blasco2018,rf,cross_session,ppg+ecg,2,0.2516,0.7956,7134,161688,25
blasco2018,rf,cross_session,ppg+gsr,2,0.1994,0.8651,6510,136710,22
blasco2018,rf,cross_session,ppg+ecg+gsr,3,0.2101,0.8519,6360,133560,22
blasco2018,rf,within_session,ecg,1,0.1147,0.9297,1849,43066,25
blasco2018,rf,within_session,gsr,1,0.2121,0.8498,1642,34482,22
blasco2018,rf,within_session,ppg,1,0.1129,0.9576,1950,46800,25
blasco2018,rf,within_session,ecg+gsr,2,0.0562,0.9822,1605,33705,22
blasco2018,rf,within_session,ppg+ecg,2,0.0504,0.9861,1849,43066,25
blasco2018,rf,within_session,ppg+gsr,2,0.0591,0.9845,1642,34482,22
blasco2018,rf,within_session,ppg+ecg+gsr,3,0.0305,0.9948,1605,33705,22
exam_stress,rf,cross_session,acc,1,0.3633,0.686,10076,90684,10
exam_stress,rf,cross_session,gsr,1,0.3528,0.7061,10328,92952,10
exam_stress,rf,cross_session,ppg,1,0.4665,0.5431,11902,107118,10
exam_stress,rf,cross_session,gsr+acc,2,0.3119,0.7558,8992,80928,10
exam_stress,rf,cross_session,ppg+acc,2,0.4016,0.6333,10076,90684,10
exam_stress,rf,cross_session,ppg+gsr,2,0.3645,0.6858,10328,92952,10
exam_stress,rf,cross_session,ppg+gsr+acc,3,0.3388,0.7148,8992,80928,10
exam_stress,rf,within_session,acc,1,0.3436,0.7051,2524,22716,10
exam_stress,rf,within_session,gsr,1,0.2753,0.793,2587,23283,10
exam_stress,rf,within_session,ppg,1,0.446,0.5758,2976,26784,10
exam_stress,rf,within_session,gsr+acc,2,0.2257,0.8547,2257,20313,10
exam_stress,rf,within_session,ppg+acc,2,0.3286,0.7331,2524,22716,10
exam_stress,rf,within_session,ppg+gsr,2,0.2917,0.7746,2587,23283,10
exam_stress,rf,within_session,ppg+gsr+acc,3,0.2342,0.85,2257,20313,10
